QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:06:44, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
420120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
420571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
