QGPIORecord, QRC v6.1.0, 22-12-2021 @ 16:12:22, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, w
404500, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404510, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404520, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404530, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404540, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404550, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404560, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404570, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404580, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404590, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404600, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404611, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404620, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404630, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404640, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404651, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404660, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404670, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404680, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404690, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404700, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404710, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404720, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404730, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404740, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404750, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404760, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404770, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404781, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404790, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404800, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404810, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404820, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404830, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
404840, -0.170305, -0.372153, -1.56883, 3.14036e-05, 1.90748e-06, 3.01494e-05, 1.8885e-05, 1.26696e-05, 0.000219757, 0.167699, 0.169709, 0
