QGPIORecord, QRC v6.1.0, 22-12-2021 @ 14:56:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, trajX, trajY, trajTheta, e1, e2, e3, v, omega, -
557166, -0.296369, -0.200521, 0.000690742, -0.291604, -0.199997, 0, 0.00476506, 0.000523776, -0.000690742, 0.0238271, 0.00218798, 0
557176, -0.296414, -0.200517, 0.000727096, -0.291403, -0.199997, 0, 0.00501058, 0.000520363, -0.000727096, 0.0250548, 0.00214734, 0
557186, -0.296442, -0.200514, 0.000764824, -0.291202, -0.199997, 0, 0.00524074, 0.000516891, -0.000764824, 0.0262057, 0.00210552, 0
557196, -0.296242, -0.200356, 0.00101372, -0.291, -0.199997, 0, 0.0052419, 0.000359267, -0.00101372, 0.0262113, 0.00116153, 0
557206, -0.296277, -0.200288, 0.00115438, -0.290799, -0.199997, 0, 0.00547788, 0.000291333, -0.00115438, 0.027391, 0.000732417, 0
557216, -0.296297, -0.200304, 0.00117586, -0.290597, -0.199997, 0, 0.00569987, 0.000307098, -0.00117586, 0.0285011, 0.000796464, 0
557225, -0.29609, -0.20032, 0.00116754, -0.290396, -0.199997, 0, 0.00569409, 0.00032337, -0.00116754, 0.0284723, 0.000883084, 0
557236, -0.295691, -0.200337, 0.00113688, -0.290204, -0.199997, 0, 0.00548741, 0.000339806, -0.00113688, 0.027439, 0.000985706, 0
557246, -0.295551, -0.20035, 0.0011368, -0.290002, -0.199997, 0, 0.00554892, 0.000352755, -0.0011368, 0.0277466, 0.00105015, 0
557256, -0.295637, -0.20036, 0.00115924, -0.289801, -0.199997, 0, 0.0058367, 0.000362888, -0.00115924, 0.0291856, 0.00108506, 0
557265, -0.295923, -0.200367, 0.00120243, -0.289599, -0.199997, 0, 0.00632322, 0.000370398, -0.00120243, 0.0316183, 0.00109252, 0
557276, -0.295723, -0.200377, 0.00120544, -0.289398, -0.199997, 0, 0.00632486, 0.000379741, -0.00120544, 0.0316266, 0.00113732, 0
557286, -0.295758, -0.200384, 0.00122994, -0.289196, -0.199997, 0, 0.00656122, 0.000386655, -0.00122994, 0.0328084, 0.00115496, 0
557296, -0.295563, -0.20023, 0.00154684, -0.289004, -0.199997, 0, 0.00655854, 0.000232518, -0.00154684, 0.0327944, 0.000183758, 0
557305, -0.295602, -0.200248, 0.00156477, -0.288803, -0.199997, 0, 0.00679949, 0.00025101, -0.00156477, 0.0339994, 0.000262987, 0
557316, -0.295627, -0.200265, 0.00158231, -0.288601, -0.199997, 0, 0.00702578, 0.000267655, -0.00158231, 0.035131, 0.000333303, 0
557326, -0.295424, -0.200282, 0.00156779, -0.2884, -0.199997, 0, 0.00702372, 0.000284925, -0.00156779, 0.0351208, 0.000428894, 0
557336, -0.295455, -0.200295, 0.00158483, -0.288199, -0.199997, 0, 0.00725687, 0.000298426, -0.00158483, 0.0362866, 0.000483723, 0
557346, -0.295258, -0.200309, 0.00157543, -0.287997, -0.199997, 0, 0.00726065, 0.000312433, -0.00157543, 0.0363057, 0.000559708, 0
557356, -0.295295, -0.20032, 0.00159263, -0.287796, -0.199997, 0, 0.00749889, 0.000323296, -0.00159263, 0.037497, 0.00060118, 0
557366, -0.295317, -0.20033, 0.00161037, -0.287603, -0.199997, 0, 0.00771365, 0.000332966, -0.00161037, 0.0385709, 0.0006365, 0
557376, -0.295112, -0.200425, 0.00141044, -0.287402, -0.199997, 0, 0.00771004, 0.000428125, -0.00141044, 0.0385532, 0.00123998, 0
557386, -0.295142, -0.200342, 0.00163368, -0.287201, -0.199997, 0, 0.00794172, 0.0003445, -0.00163368, 0.0397114, 0.000677417, 0
557395, -0.294943, -0.20035, 0.00163377, -0.286999, -0.199997, 0, 0.00794432, 0.000353128, -0.00163377, 0.0397244, 0.000720479, 0
557406, -0.294763, -0.200358, 0.00163614, -0.286798, -0.199997, 0, 0.00796574, 0.000360787, -0.00163614, 0.0398316, 0.000757084, 0
557416, -0.2946, -0.200365, 0.00164053, -0.286596, -0.199997, 0, 0.00800332, 0.000367582, -0.00164053, 0.0400196, 0.000787943, 0
