QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:08:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
526981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
526990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
527400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
