QGPIORecord, QRC v6.1.0, 04-12-2021 @ 21:54:55, Windows 10 Version 2009, 10.0.19042, x86_64
Time, yA, yB, r, eA, eB, uA, uB, C, D, ValueIn9, ValueIn10, ValueIn11
215670, 10.1856, 10.1856, 10, -0.185633, -0.185633, 5.27104, 5.33568, 0, 0, 0, 0, 0
215681, 10.1506, 10.5012, 10, -0.15057, -0.501194, 5.26654, 5.32543, 0, 0, 0, 0, 0
215691, 10.1786, 9.80696, 10, -0.17862, 0.193042, 5.26214, 5.32083, 0, 0, 0, 0, 0
215700, 10.5117, 10.1751, 10, -0.511713, -0.175114, 5.2529, 5.3211, 0, 0, 0, 0, 0
215710, 10.1576, 10.1681, 10, -0.157582, -0.168101, 5.24394, 5.31598, 0, 0, 0, 0, 0
215720, 10.5187, 10.1681, 10, -0.518725, -0.168101, 5.23489, 5.31096, 0, 0, 0, 0, 0
215731, 10.1786, 10.1681, 10, -0.17862, -0.168101, 5.22556, 5.30594, 0, 0, 0, 0, 0
215740, 10.5117, 10.1716, 10, -0.511713, -0.171608, 5.21632, 5.30087, 0, 0, 0, 0, 0
215750, 10.1611, 9.82098, 10, -0.161089, 0.179017, 5.20732, 5.30098, 0, 0, 0, 0, 0
215760, 10.1786, 10.1681, 10, -0.17862, -0.168101, 5.20277, 5.30114, 0, 0, 0, 0, 0
215771, 10.5117, 10.1716, 10, -0.511713, -0.171608, 5.19354, 5.29607, 0, 0, 0, 0, 0
215780, 10.1576, 10.1576, 10, -0.157582, -0.157582, 5.18458, 5.29116, 0, 0, 0, 0, 0
215790, 10.1786, 9.828, 10, -0.17862, 0.172004, 5.18008, 5.29137, 0, 0, 0, 0, 0
215800, 9.80345, 10.1436, 10, 0.196548, -0.143558, 5.18032, 5.2918, 0, 0, 0, 0, 0
215811, 10.1681, 10.1821, 10, -0.168101, -0.182126, 5.1807, 5.28693, 0, 0, 0, 0, 0
215821, 9.82098, 9.81748, 10, 0.179017, 0.182523, 5.18085, 5.28694, 0, 0, 0, 0, 0
215830, 10.1751, 9.82449, 10, -0.175114, 0.17551, 5.1809, 5.29228, 0, 0, 0, 0, 0
215840, 10.1506, 10.1506, 10, -0.15057, -0.15057, 5.17654, 5.29266, 0, 0, 0, 0, 0
215851, 10.1786, 10.1786, 10, -0.17862, -0.17862, 5.17214, 5.28774, 0, 0, 0, 0, 0
215861, 10.1541, 9.80696, 10, -0.154077, 0.193042, 5.16768, 5.28796, 0, 0, 0, 0, 0
215870, 10.1856, 10.1576, 10, -0.185633, -0.157582, 5.16314, 5.28849, 0, 0, 0, 0, 0
215880, 10.1471, 9.82098, 10, -0.147064, 0.179017, 5.15869, 5.28881, 0, 0, 0, 0, 0
215890, 10.1821, 10.1821, 10, -0.182126, -0.182126, 5.15428, 5.28876, 0, 0, 0, 0, 0
215901, 10.1506, 10.1436, 10, -0.15057, -0.143558, 5.14983, 5.2839, 0, 0, 0, 0, 0
215910, 10.1751, 9.828, 10, -0.175114, 0.172004, 5.14547, 5.28432, 0, 0, 0, 0, 0
215920, 10.1611, 10.1716, 10, -0.161089, -0.171608, 5.14097, 5.28433, 0, 0, 0, 0, 0
215930, 9.8315, 10.1681, 10, 0.168498, -0.168101, 5.14107, 5.27926, 0, 0, 0, 0, 0
215941, 10.1681, 9.80696, 10, -0.168101, 0.193042, 5.14108, 5.27963, 0, 0, 0, 0, 0
215951, 10.1365, 9.80696, 10, -0.136545, 0.193042, 5.137, 5.28539, 0, 0, 0, 0, 0
215960, 10.1962, 10.1997, 10, -0.196151, -0.199657, 5.13255, 5.28529, 0, 0, 0, 0, 0
215970, 9.81748, 10.5047, 10, 0.182523, -0.504701, 5.13237, 5.27478, 0, 0, 0, 0, 0
215981, 10.1576, 9.81748, 10, -0.157582, 0.182523, 5.1327, 5.26997, 0, 0, 0, 0, 0
215991, 10.1681, 9.80696, 10, -0.168101, 0.193042, 5.12834, 5.27558, 0, 0, 0, 0, 0
216000, 10.1611, 10.1681, 10, -0.161089, -0.168101, 5.12394, 5.27595, 0, 0, 0, 0, 0
216010, 10.1751, 10.1821, 10, -0.175114, -0.182126, 5.11944, 5.27072, 0, 0, 0, 0, 0
216020, 9.82098, 9.80696, 10, 0.179017, 0.193042, 5.11949, 5.27088, 0, 0, 0, 0, 0
216031, 10.1436, 10.1506, 10, -0.143558, -0.15057, 5.11997, 5.27152, 0, 0, 0, 0, 0
216040, 9.828, 10.1751, 10, 0.172004, -0.175114, 5.12035, 5.26666, 0, 0, 0, 0, 0
216050, 10.1751, 10.1716, 10, -0.175114, -0.171608, 5.1203, 5.26148, 0, 0, 0, 0, 0
216060, 9.82098, 9.46685, 10, 0.179017, 0.533147, 5.12036, 5.26688, 0, 0, 0, 0, 0
216071, 10.1506, 9.80345, 10, -0.15057, 0.196548, 5.12074, 5.27777, 0, 0, 0, 0, 0
216080, 9.8315, 10.5398, 10, 0.168498, -0.539762, 5.12098, 5.27265, 0, 0, 0, 0, 0
216090, 10.1541, 10.1611, 10, -0.154077, -0.161089, 5.12117, 5.26219, 0, 0, 0, 0, 0
216100, 10.1716, 9.80345, 10, -0.171608, 0.196548, 5.11681, 5.26271, 0, 0, 0, 0, 0
216111, 9.81046, 9.82449, 10, 0.189535, 0.17551, 5.11705, 5.26827, 0, 0, 0, 0, 0
216121, 10.1576, 10.1576, 10, -0.157582, -0.157582, 5.11748, 5.26854, 0, 0, 0, 0, 0
216130, 9.83501, 9.83501, 10, 0.164991, 0.164991, 5.11758, 5.26865, 0, 0, 0, 0, 0
216140, 10.1541, 9.80696, 10, -0.154077, 0.193042, 5.11772, 5.27399, 0, 0, 0, 0, 0
216151, 9.80696, 10.1576, 10, 0.193042, -0.157582, 5.11825, 5.27452, 0, 0, 0, 0, 0
216161, 9.82449, 10.1751, 10, 0.17551, -0.175114, 5.12318, 5.26955, 0, 0, 0, 0, 0
216170, 10.1786, 9.81748, 10, -0.17862, 0.182523, 5.12314, 5.26966, 0, 0, 0, 0, 0
216180, 9.45984, 9.82449, 10, 0.540159, 0.17551, 5.12797, 5.27501, 0, 0, 0, 0, 0
216190, 9.80696, 9.80696, 10, 0.193042, 0.193042, 5.13779, 5.28051, 0, 0, 0, 0, 0
216201, 9.47387, 10.5082, 10, 0.526134, -0.508206, 5.14741, 5.27581, 0, 0, 0, 0, 0
216210, 9.47036, 10.1716, 10, 0.529641, -0.171608, 5.16154, 5.26566, 0, 0, 0, 0, 0
216220, 9.46685, 9.80696, 10, 0.533147, 0.193042, 5.17576, 5.26598, 0, 0, 0, 0, 0
216230, 9.79995, 9.82449, 10, 0.200054, 0.17551, 5.18557, 5.27148, 0, 0, 0, 0, 0
216241, 9.47036, 10.1681, 10, 0.529641, -0.168101, 5.19533, 5.27159, 0, 0, 0, 0, 0
216250, 9.47036, 10.1611, 10, 0.529641, -0.161089, 5.20951, 5.26668, 0, 0, 0, 0, 0
216260, 9.81046, 9.82098, 10, 0.189535, 0.179017, 5.21913, 5.26694, 0, 0, 0, 0, 0
216270, 9.82449, 10.1681, 10, 0.17551, -0.168101, 5.22402, 5.26711, 0, 0, 0, 0, 0
216281, 9.81748, 10.1541, 10, 0.182523, -0.154077, 5.22881, 5.2623, 0, 0, 0, 0, 0
216291, 10.1436, 9.81046, 10, -0.143558, 0.189535, 5.22933, 5.26283, 0, 0, 0, 0, 0
216300, 9.8315, 9.8315, 10, 0.168498, 0.168498, 5.22966, 5.26817, 0, 0, 0, 0, 0
216310, 10.1611, 9.81748, 10, -0.161089, 0.182523, 5.22976, 5.27341, 0, 0, 0, 0, 0
216321, 10.1681, 10.1681, 10, -0.168101, -0.168101, 5.22536, 5.27363, 0, 0, 0, 0, 0
216331, 10.1681, 10.1681, 10, -0.168101, -0.168101, 5.22086, 5.26861, 0, 0, 0, 0, 0
216340, 10.1716, 10.1576, 10, -0.171608, -0.157582, 5.21631, 5.26375, 0, 0, 0, 0, 0
216350, 9.82449, 9.8315, 10, 0.17551, 0.168498, 5.21636, 5.26391, 0, 0, 0, 0, 0
216360, 10.4977, 10.1471, 10, -0.497688, -0.147064, 5.21205, 5.26423, 0, 0, 0, 0, 0
216371, 10.1856, 10.1856, 10, -0.185633, -0.185633, 5.20291, 5.25926, 0, 0, 0, 0, 0
216380, 9.81748, 9.80345, 10, 0.182523, 0.196548, 5.20287, 5.25943, 0, 0, 0, 0, 0
216390, 10.1681, 10.1751, 10, -0.168101, -0.175114, 5.20306, 5.25975, 0, 0, 0, 0, 0
216400, 10.1681, 10.1751, 10, -0.168101, -0.175114, 5.19856, 5.25452, 0, 0, 0, 0, 0
216411, 9.82098, 9.80345, 10, 0.179017, 0.196548, 5.19871, 5.25484, 0, 0, 0, 0, 0
