QGPIORecord, QRC v6.1.0, 22-11-2021 @ 10:56:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, rA, VoltageState, PositionB, VelocitiyB, CurrentA, CurrentB, VoltageA, VoltageB, ValueIn9, ValueIn10, ValueIn11
167150, 0, 0, 1, 0, 0, 0.0447035, 0, 0, 0, 0, 0, 0
167160, 0, 0, 1, 0, 0, -0.00894071, 0.101328, 0, 0, 0, 0, 0
167171, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
167180, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167190, 0, 0, 1, 0, 0, 0.0178814, 0, 0, 0, 0, 0, 0
167200, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167211, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
167220, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
167230, 0, 0, 1, 0, 0, -0.0119209, -0.0119209, 0, 0, 0, 0, 0
167240, 0, 0, 1, 0, 0, 0, -0.00596047, 0, 0, 0, 0, 0
167250, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167261, 0, 0, 1, 0, 0, 0.00298024, 0.0476838, 0, 0, 0, 0, 0
167270, 0, 0, 1, 0, 0, -0.00298024, 0.0417233, 0, 0, 0, 0, 0
167280, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167290, 0, 0, 1, 0, 0, -0.00596047, -0.00596047, 0, 0, 0, 0, 0
167301, 0, 0, 1, 0, 0, -0.00894071, -0.00894071, 0, 0, 0, 0, 0
167310, 0, 0, 1, 0, 0, -0.0119209, -0.0119209, 0, 0, 0, 0, 0
167320, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
167330, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
167341, 0, 0, 1, 0, 0, 0.00298024, 0.050664, 0, 0, 0, 0, 0
167350, 0, 0, 1, 0, 0, -0.00596047, -0.0119209, 0, 0, 0, 0, 0
167360, 0, 0, 1, 0, 0, 0.0268221, 0.0119209, 0, 0, 0, 0, 0
167370, 0, 0, 1, 0, 0, 0.0149012, 0.0447035, 0, 0, 0, 0, 0
167380, 0, 0, 1, 0, 0, -0.00894071, -0.00596047, 0, 0, 0, 0, 0
167390, 0, 0, 1, 0, 0, -0.00596047, -0.00894071, 0, 0, 0, 0, 0
