QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:39:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
67900, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67910, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67920, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67930, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67940, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67950, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67960, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67971, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67980, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67990, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68000, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68011, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68020, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68030, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68040, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68050, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68060, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68070, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68080, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68090, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68100, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68110, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68120, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
