QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:08:37, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
17900, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17910, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17921, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17930, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17940, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17950, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17960, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17970, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17980, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
17990, 0.00350624, 0, 1, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
18000, 0.00350624, 0, 1, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
18011, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
18020, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
18030, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
18040, 0.00350624, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
18051, 0, -0.350624, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
18060, 0, 0, 1, 0, 0, 0.0327826, 0.0417233, 12, 12, 0, 0, 0
18070, 0.0666186, 6.99846, 1, 0.0666186, 6.61978, 0.441075, 0.441075, 12, 12, 0, 0, 0
18080, 0.210375, 14.0355, 1, 0.203362, 14.025, 0.432134, 0.438095, 12, 12, 0, 0, 0
18091, 0.385687, 17.5172, 1, 0.375168, 17.1666, 0.354648, 0.360608, 12, 12, 0, 0, 0
18101, 0.571517, 18.9407, 1, 0.560999, 18.5971, 0.312925, 0.303984, 12, 12, 0, 0, 0
18110, 0.764361, 18.9337, 1, 0.753842, 19.2738, 0.277162, 0.268221, 12, 12, 0, 0, 0
18120, 0.957204, 19.635, 1, 0.953698, 19.968, 0.25332, 0.229478, 12, 12, 0, 0, 0
18130, 1.15355, 19.6174, 1, 1.15355, 19.642, 0.25332, 0.229478, 12, 12, 0, 0, 0
18141, 1.3499, 19.6174, 1, 1.3499, 19.635, 0.24736, 0.232458, 12, 12, 0, 0, 0
18151, 1.54976, 19.649, 1, 1.54625, 19.961, 0.232458, 0.229478, 12, 12, 0, 0, 0
18160, 1.75312, 20.3362, 1, 1.74611, 20.3572, 0.220537, 0.214577, 12, 12, 0, 0, 0
