QGPIORecord, QRC v6.1.0, 15-12-2021 @ 22:14:23, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2, -
67164, -0.372633, -0.269772, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.194408, 0
67174, -0.371676, -0.268757, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.19173, 0
67184, -0.370074, -0.268974, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.277269, 0.194408, 0
67194, -0.369005, -0.266934, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.277269, 0.187855, 0
67204, -0.369258, -0.265999, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.189128, 0
67214, -0.369427, -0.265375, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.189128, 0
67224, -0.369539, -0.264959, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.189128, 0
67234, -0.369614, -0.264258, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.187855, 0
67244, -0.369664, -0.26379, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.187855, 0
67254, -0.369697, -0.263903, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.189128, 0
67264, -0.369719, -0.263554, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.187855, 0
67274, -0.369734, -0.263321, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.187855, 0
67283, -0.369744, -0.261131, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.181755, 0
67294, -0.368786, -0.260068, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.277269, 0.182941, 0
67304, -0.371106, -0.25976, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.286147, 0.184144, 0
67314, -0.370659, -0.259153, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.182941, 0
67323, -0.37036, -0.258749, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.182941, 0
67334, -0.370161, -0.258881, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.184144, 0
67344, -0.370029, -0.257017, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.178292, 0
67354, -0.36994, -0.256155, 0, 3.33333e-07, 0, 3.33422e-07, 0, 0, 5e-07, 0.280164, 0.17943, 0
