QGPIORecord, QRC v6.1.0, 21-12-2021 @ 00:30:15, Windows 10 Version 2009, 10.0.19042, x86_64
Time, y1, y2, x1, x2, x3, P11, P12, P22, P13, P23, P33, ValueIn11
960830, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960840, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960850, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960860, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960870, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960880, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960890, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960901, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960910, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960920, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960930, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960941, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960950, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960960, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960970, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960980, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
960990, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961000, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961010, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961020, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961030, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961040, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961050, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961060, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961071, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961080, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961090, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961100, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961111, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961120, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961130, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961140, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961150, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961160, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961170, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961180, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961190, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961200, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961210, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961220, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961230, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961241, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961250, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961260, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961270, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961281, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961290, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961300, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961310, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961320, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961330, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961340, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961350, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961360, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961370, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961380, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961390, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961400, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961411, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961420, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961430, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961440, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961451, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961460, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961470, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961480, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961490, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961500, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961510, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961520, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961530, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961540, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961550, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961560, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961570, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961581, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961590, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961600, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961610, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961620, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961630, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961640, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961650, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961660, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961670, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961680, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961690, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
961700, 0.150871, 0.147779, -0.158495, -0.355165, -1.59555, 0, 0, 0, 0, 0, 0, 0
