QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:51:24, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
577620, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577730, 0, 0, 0, 0, 0, 0.00298024, 0.00298024, 0, 0, 0, 0, 0
577740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577830, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577881, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
577890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577940, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
577950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577960, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
577970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
577990, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578060, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578070, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578140, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578170, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578210, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578280, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578290, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578380, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578391, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578400, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578440, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578490, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578550, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578590, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578600, 0, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0
578610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578620, 0, 0, 0, 0, 0, 0.00298024, 0, 0, 0, 0, 0, 0
578630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
