QGPIORecord, QRC v6.1.0, 17-12-2021 @ 17:00:05, Windows 10 Version 2009, 10.0.19042, x86_64
Time, x1, x2, x3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, meas1, meas2, -
26392, -0.163502, -0.271335, -1.60396, 0.576973, 0.0416972, 0.481522, 2.15747, 0.665871, 50.2434, 0.156633, 0.148539, 0
26402, -0.163509, -0.271535, -1.60396, 0.578837, 0.0418159, 0.482513, 2.16752, 0.665537, 50.3434, 0.156633, 0.148539, 0
26413, -0.163516, -0.271735, -1.60396, 0.580706, 0.0419345, 0.483504, 2.17758, 0.665204, 50.4434, 0.156633, 0.148539, 0
26422, -0.163522, -0.271934, -1.60396, 0.582579, 0.042053, 0.484495, 2.18766, 0.664869, 50.5434, 0.156633, 0.148539, 0
26432, -0.163529, -0.272134, -1.60396, 0.584455, 0.0421713, 0.485486, 2.19777, 0.664534, 50.6434, 0.156633, 0.148539, 0
26442, -0.163536, -0.272334, -1.60396, 0.586336, 0.0422895, 0.486477, 2.20789, 0.664198, 50.7434, 0.156633, 0.148539, 0
26452, -0.163542, -0.272534, -1.60396, 0.58822, 0.0424076, 0.487469, 2.21803, 0.663862, 50.8434, 0.156633, 0.148539, 0
26462, -0.163549, -0.272734, -1.60396, 0.590109, 0.0425255, 0.48846, 2.2282, 0.663524, 50.9434, 0.156633, 0.148539, 0
26472, -0.163555, -0.272934, -1.60396, 0.592002, 0.0426433, 0.489451, 2.23838, 0.663186, 51.0434, 0.156633, 0.148539, 0
26482, -0.163562, -0.273134, -1.60396, 0.593899, 0.0427609, 0.490442, 2.24858, 0.662848, 51.1434, 0.156633, 0.148539, 0
26492, -0.163569, -0.273334, -1.60396, 0.5958, 0.0428784, 0.491433, 2.25881, 0.662509, 51.2434, 0.156633, 0.148539, 0
26502, -0.163575, -0.273534, -1.60396, 0.597705, 0.0429958, 0.492425, 2.26905, 0.662169, 51.3434, 0.156633, 0.148539, 0
26512, -0.163582, -0.273733, -1.60396, 0.599614, 0.0431131, 0.493416, 2.27931, 0.661829, 51.4434, 0.156633, 0.148539, 0
26522, -0.163589, -0.273933, -1.60396, 0.601527, 0.0432302, 0.494407, 2.28959, 0.661487, 51.5434, 0.156633, 0.148539, 0
26532, -0.163595, -0.274133, -1.60396, 0.603445, 0.0433472, 0.495398, 2.2999, 0.661146, 51.6434, 0.156633, 0.148539, 0
26542, -0.163602, -0.274333, -1.60396, 0.605366, 0.043464, 0.496389, 2.31022, 0.660803, 51.7434, 0.156633, 0.148539, 0
26552, -0.163608, -0.274533, -1.60396, 0.607292, 0.0435807, 0.497381, 2.32056, 0.66046, 51.8434, 0.156633, 0.148539, 0
26562, -0.163615, -0.274733, -1.60396, 0.609222, 0.0436973, 0.498372, 2.33093, 0.660116, 51.9434, 0.156633, 0.148539, 0
26572, -0.163622, -0.274933, -1.60396, 0.611155, 0.0438137, 0.499363, 2.34131, 0.659772, 52.0434, 0.156633, 0.148539, 0
26582, -0.163628, -0.275133, -1.60396, 0.613094, 0.04393, 0.500354, 2.35171, 0.659427, 52.1434, 0.156633, 0.148539, 0
26592, -0.163635, -0.275332, -1.60396, 0.615036, 0.0440461, 0.501346, 2.36214, 0.659081, 52.2434, 0.156633, 0.148539, 0
26602, -0.163642, -0.275532, -1.60396, 0.616982, 0.0441621, 0.502337, 2.37258, 0.658734, 52.3434, 0.156633, 0.148539, 0
26612, -0.163648, -0.275732, -1.60396, 0.618933, 0.044278, 0.503328, 2.38304, 0.658387, 52.4434, 0.156633, 0.148539, 0
26622, -0.163655, -0.275932, -1.60396, 0.620888, 0.0443937, 0.50432, 2.39352, 0.65804, 52.5434, 0.156633, 0.148539, 0
26632, -0.163661, -0.276132, -1.60396, 0.622847, 0.0445093, 0.505311, 2.40403, 0.657691, 52.6434, 0.156633, 0.148539, 0
26642, -0.163668, -0.276332, -1.60396, 0.62481, 0.0446248, 0.506302, 2.41455, 0.657342, 52.7434, 0.156633, 0.148539, 0
26652, -0.163675, -0.276532, -1.60396, 0.626777, 0.0447401, 0.507293, 2.42509, 0.656992, 52.8434, 0.156633, 0.148539, 0
26662, -0.163681, -0.276732, -1.60396, 0.628749, 0.0448553, 0.508285, 2.43566, 0.656642, 52.9434, 0.156633, 0.148539, 0
26672, -0.163688, -0.276932, -1.60396, 0.630725, 0.0449703, 0.509276, 2.44624, 0.656291, 53.0434, 0.156633, 0.148539, 0
26682, -0.163695, -0.277131, -1.60396, 0.632705, 0.0450852, 0.510267, 2.45684, 0.655939, 53.1434, 0.156633, 0.148539, 0
26692, -0.163701, -0.277331, -1.60396, 0.634689, 0.0451999, 0.511259, 2.46746, 0.655587, 53.2434, 0.156633, 0.148539, 0
26702, -0.163708, -0.277531, -1.60396, 0.636678, 0.0453146, 0.51225, 2.47811, 0.655233, 53.3434, 0.156633, 0.148539, 0
26712, -0.163715, -0.277731, -1.60396, 0.63867, 0.045429, 0.513241, 2.48877, 0.65488, 53.4434, 0.156633, 0.148539, 0
26722, -0.163721, -0.277931, -1.60396, 0.640667, 0.0455434, 0.514232, 2.49945, 0.654525, 53.5434, 0.156633, 0.148539, 0
26732, -0.163728, -0.278131, -1.60396, 0.642669, 0.0456575, 0.515224, 2.51016, 0.65417, 53.6434, 0.156633, 0.148539, 0
26742, -0.163734, -0.278331, -1.60396, 0.644674, 0.0457716, 0.516215, 2.52088, 0.653814, 53.7434, 0.156633, 0.148539, 0
