QGPIORecord, QRC v6.1.0, 15-12-2021 @ 15:54:54, Windows 10 Version 2009, 10.0.19042, x86_64
Time, FDR, rA, rB, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
578500, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578510, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578521, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578530, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578540, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578550, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578561, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578570, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578580, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578590, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578600, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578610, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578620, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578630, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578640, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578650, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578660, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578670, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578680, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578691, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578700, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578710, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578720, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578731, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578740, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578750, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578760, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578770, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578780, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578790, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578800, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578810, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578820, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578830, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578840, 0.150085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578850, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578861, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578870, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578880, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578890, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578900, 0.150871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
578910, 0.151666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
